Base Sentence,Sentence Label,Model Name,Domain,Batch Index,Timestamp
"Note: I've generated these predictions based on the provided templates and examples, and I've made sure to diversify the properties of each prediction, including the financial person, organization, time, forecast time, financial attribute, slope, metric outcome, future verb tense, and location.",1,llama3-8b-8192,finance,0,2025-03-04 17:05:14
"T1: On 2024-08-21, Dr. Maria Rodriguez, a health expert, predicts that the obesity rate at the United States will likely decrease by 4% from 36.5% to 35.1% in 2029 Q3.",1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
"T2: In Q2 2026, Dr. John Lee from the World Health Organization, envisions that the average daily caloric intake may rise from 2,000 to 2,500 calories in Quarter 4 of 2028.",1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
T3: Dr. Sophia Patel predicts on 2024/08/21 that the global vaccination rate for influenza in the US will likely stay stable at 150 million people in 2027.,1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
"T4: According to a report by Olivia Brown, a health analyst from the Centers for Disease Control and Prevention, on 2024-08-21, the prevalence of type 2 diabetes in adults is expected to increase beyond 9.4% in the time frame of 2029.",1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
"T5: In 2027-03-15, the average weekly exercise hours in the United Kingdom has a probability of 30% to reach 25 hours, as predicted by Emily Taylor, a health expert, on 2024-11-12.",1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
"T1: On 2024-09-18, Dr. Michael Davis, a health top executive, forecasts that the cancer rate in California should decrease by 3% from 4.5% to 4.35% in 2026 Q2.",1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
"T2: In 2024-10-15, Dr. Rachel Kim from the University of California, envisions that the average daily physical activity levels may fall from 7 hours to 5 hours in Quarter 3 of 2029.",1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
T3: Dr. Arjun Patel predicts on 2024-08-25 that the prevalence of hypertension in New York will likely rise by 10% from 33.5% to 36.85% in 2028.,1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
"T4: According to a report by Dr. Olivia Lee, a health senior level person from the National Institutes of Health, on 2024-08-22, the average weekly walking hours in Atlanta is expected to increase as much as 20% from 2 hours to 2.4 hours in the time frame of 2027.",1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
"T5: In 2025-06-01, the average daily caloric intake in the United States has a probability of 25% to reach 2,800 calories, as predicted by Dr. Emily Brown, a health expert, on 2024-08-20.",1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
"T1: On 2024-08-24, Dr. Sophia Lee, a health analyst, predicts that the average weekly exercise hours in the US will likely rise by 5% from 2 hours to 2.1 hours in 2028 Q4.",1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
"T2: In 2024-11-10, Dr. Michael Patel from the World Health Organization, envisions that the prevalence of type 2 diabetes in adults may fall from 9.5% to 8.5% in Quarter 2 of 2027.",1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
T3: Dr. Rachel Davis predicts on 2024-08-23 that the global vaccination rate for measles in the UK will likely stay stable at 120 million people in 2029.,1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
"T4: According to a report by Dr. Olivia Brown, a health top executive from the Centers for Disease Control and Prevention, on 2024-08-21, the average daily physical activity levels are expected to increase beyond 7 hours in the time frame of 2029.",1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
"T5: In 2027-01-01, the average weekly walking hours in the United States has a probability of 40% to reach 3 hours, as predicted by Dr. Emily Taylor, a health expert, on 2024-08-22.",1,llama-3.1-8b-instant,health,0,2025-03-04 17:05:14
Here are 10 unique health predictions based on the provided templates and examples:,1,llama3-8b-8192,health,0,2025-03-04 17:05:14
"T1: On 2024-08-21, Dr. Maria Rodriguez, a health expert, predicts that the obesity rate at the World Health Organization will likely decrease by 3% in 2028.",1,llama3-8b-8192,health,0,2025-03-04 17:05:14
"T2: In Q2 2026, Dr. John Lee from the Centers for Disease Control and Prevention envisions that the average daily caloric intake may rise from 1500 to 2000 in 2029.",1,llama3-8b-8192,health,0,2025-03-04 17:05:14
T3: [Dr. Sophia Patel] predicts on 2024-11-15 that the global vaccination rate for influenza in the European Union should stay stable at 80% in 2027.,1,llama3-8b-8192,health,0,2025-03-04 17:05:14
"T4: According to a report by Dr. Emily Chen from the National Institutes of Health, on 2024-09-10, the prevalence of type 2 diabetes in adults is expected to increase beyond 10.5% in the time frame of 2029.",1,llama3-8b-8192,health,0,2025-03-04 17:05:14
"T5: In 2027-03-15, the average weekly exercise hours in the United States has a probability of 30% to reach 25k, as predicted by Dr. Michael Brown, a health analyst, on 2024-02-20.",1,llama3-8b-8192,health,0,2025-03-04 17:05:14
"T1: On 2024-12-01, Dr. Rachel Kim, a health expert, forecasts that the cancer rate in the United Kingdom will likely decrease by 2% in 2029.",1,llama3-8b-8192,health,0,2025-03-04 17:05:14
"T2: In 2025-02-20, Dr. Olivia Martinez from the World Health Organization predicts that the average daily caloric intake may fall from 2500 to 2000 in 2028.",1,llama3-8b-8192,health,0,2025-03-04 17:05:14
T3: [Dr. David Lee] predicts on 2024-06-01 that the global vaccination rate for measles in the African continent should rise by 10% in 2027.,1,llama3-8b-8192,health,0,2025-03-04 17:05:14
"T4: According to a report by Dr. Sophia Rodriguez from the Centers for Disease Control and Prevention, on 2024-10-25, the prevalence of hypertension in adults is expected to increase beyond 40% in the time frame of 2029.",1,llama3-8b-8192,health,0,2025-03-04 17:05:14
"T5: In 2028-09-01, the average weekly walking hours in the United States is expected to rise by 12%, as predicted by Dr. Emily Davis, a health analyst, on 2024-01-15.",1,llama3-8b-8192,health,0,2025-03-04 17:05:14
"Note: I've generated these predictions using the provided templates and examples, and I've made sure to diversify the properties of each prediction, including the person making the prediction, the organization, the current time, the forecast time, the attribute, the slope, the metric outcome, and the location. I've also made sure to use synonyms of ""predicts"" and not repeat any predictions.",1,llama3-8b-8192,health,0,2025-03-04 17:05:14
"T1: On 2024-08-21, President John Doe forecasts that the unemployment rate at the United States will likely decrease by 2% in 2027 Q2.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T2: In 08/15/2027, Senator Emily Johnson from the Senate Committee on Finance, envisions that the inflation rate should rise from 1.3 percent to 89 percent in Quarter 4 of 2029.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
T3: Dija Gabe in the Congressional Budget Office predicts on 23 October 2024 that national debt in USA may stay stable at 20 million in 2028 Quarter 3.,1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T4: According to a General Robert Williams from the Department of Defense, on 08/21/2024, the number of active-duty soldiers is expected to increase beyond 10,000 in the time frame of 2029 Q3.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T5: In 2025-08-21, the number of citizens in Thomson, GA, 30824 has a probability of 92 percent to reach 30k decrease, as predicted by Shirly Tisdale, a policy reporter on 21 Oct 24.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T1: On 21 Aug 2024, Dr. Jane Smith foresee that the population growth rate in California is likely to decrease by 5 percent to 20 billion in 2028 Q2.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T2: In Q2 2026, Governor Michael Brown from the State of Texas, predicts that the number of registered voters will fall under 5B in Dec of 2029.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T3: Dr. Sarah Lee predicts on 2024/08/21 that the median household income in NY should fall by 629 percent to $15,000 in 2027 Q4.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T4: According to a Senator James Davis from the Senate Committee on Health, Education, Labor, and Pensions, on 2024-08-21, the number of students in public schools is likely to increase beyond 50 million in the time frame of 2029 Q1.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T5: In 2029 of Q3, the number of active-duty soldiers in the United States is expected to be 300K, which is a 15% rise, as predicted by a policy analyst on 2024-08-21.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T1: On 08/21/2024, Dr. Olivia Martinez from the Census Bureau, envisions that the population density in urban areas is likely to increase as much as 100,000,000, reflecting a 1209 percent increase by 2027 Q3.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T2: In Q3 of 2027, President Jane Doe from the White House, forecasts that the number of citizens in the United States will likely rise from 330 million to 350 million in 2029 Q2.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T3: According to a General Michael Brown from the Department of Defense, on 2024-08-21, the number of active-duty soldiers is expected to stay stable at 10,000 in the time frame of 2028 Q4.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T4: According to a Senator Emily Johnson from the Senate Committee on Finance, on 2024-08-21, the inflation rate should fall from 1.3 percent to 0.5 percent in the time frame of 2029 Q1.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
"T5: In 2025 Q1, the number of citizens in Thomson, GA, 30824 has a probability of 92 percent to reach 30k decrease, as predicted by Shirly Tisdale, a policy reporter on 2024-08-21.",1,llama-3.1-8b-instant,policy,0,2025-03-04 17:05:14
Here are 10 unique policy predictions based on the provided templates and examples:,1,llama3-8b-8192,policy,0,2025-03-04 17:05:14
"T1: On 2024-08-21, Dr. Maria Rodriguez, a policy expert, predicts that the unemployment rate at the European Union will likely decrease by 1.5% in 2029 Q2.",1,llama3-8b-8192,policy,0,2025-03-04 17:05:14
"T2: In Q2 2026, Senator James Brown from the Senate Committee on Energy, predicts that the inflation rate should rise from 2.1% to 3.5% in 2028 Q4.",1,llama3-8b-8192,policy,0,2025-03-04 17:05:14
T3: [Dr. David Lee] predicts on 2024-11-15 that the national debt in the United States may stay stable at $25 trillion in 2027 Q4.,1,llama3-8b-8192,policy,0,2025-03-04 17:05:14
"T4: According to a policy analyst from the World Bank, on 2024-09-12, the number of people living in poverty is expected to increase beyond 700 million in the time frame of 2028-2030.",1,llama3-8b-8192,policy,0,2025-03-04 17:05:14
"T5: In 2027-03-15, the number of citizens in New York City has a probability of 85% to reach 8.5 million, as predicted by Shirly Tisdale, a policy reporter, on 2024-10-21.",1,llama3-8b-8192,policy,0,2025-03-04 17:05:14
"T1: On 2024-12-10, President Jane Smith forecasts that the GDP growth rate at the United States will likely increase by 2.8% in 2029 Q1.",1,llama3-8b-8192,policy,0,2025-03-04 17:05:14
"T2: In 2026-02-20, Dr. John Taylor from the Federal Reserve, envisions that the interest rate should rise from 1.5% to 3.2% in 2028 Q2.",1,llama3-8b-8192,policy,0,2025-03-04 17:05:14
T3: [Dr. Emily Chen] predicts on 2024-06-01 that the number of registered voters in California will likely fall under 20 million in 2029 Q3.,1,llama3-8b-8192,policy,0,2025-03-04 17:05:14
"T4: According to a policy expert from the International Monetary Fund, on 2024-07-25, the number of people employed in the technology sector is expected to increase beyond 10 million in the time frame of 2028-2030.",1,llama3-8b-8192,policy,0,2025-03-04 17:05:14
"T5: In 2025-09-01, the number of citizens in Chicago has a probability of 90% to reach 2.7 million, as predicted by Dr. Michael Brown, a policy analyst, on 2024-03-15.",1,llama3-8b-8192,policy,0,2025-03-04 17:05:14
"Note: I've followed the provided templates and examples, and generated unique predictions based on real-world policy data. I've also ensured that the predictions are diverse, and do not repeat any of the same properties (p_p, p_o, p_t, p_f, p_a, p_s, p_m, p_v, p_l).",1,llama3-8b-8192,policy,0,2025-03-04 17:05:14
"T1: On Wednesday, August 21, 2024, Dr. Maria Rodriguez, a senior meteorologist at the National Weather Service, forecasts that the temperature in New York City will likely decrease from 25°C to 20°C on August 25, 2027.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T2: In Q3 of 2027, Samantha Brown from Weather.com envisions that the precipitation levels in San Francisco should decrease by 15% in the time frame of 2029.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T3: Dr. John Lee, a weather expert from the Bureau of Meteorology, predicts on August 12, 2024, that the humidity in Miami will rise by 25% in 2028.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T4: According to a top executive from AccuWeather, on August 25, 2024, the wind speed in Chicago is expected to increase beyond 20 mph in the time frame of 2026.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T5: In 2028-09-01, the air quality index in Los Angeles has a probability of 10% to improve, as predicted by David Kim, a weather analyst from the US Weather Center, on August 18, 2024.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T1: On August 28, 2024, Emily Chen, a weather reporter at the National Weather Service, forecasts that the snowfall levels in Denver will likely increase by 5 inches on February 15, 2026.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T2: In 2025, James Davis from NOAA predicts that the rainfall in Portland should decrease by 12% in the time frame of 2027.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T3: Dr. Lisa Nguyen, a senior meteorologist from the Meteorological Department, predicts on September 10, 2024, that the temperature in Seattle will fall by 8°C in 2025.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T4: According to a weather expert from Weather Underground, on October 15, 2024, the precipitation levels in San Francisco are likely to increase beyond 20% in the time frame of 2026.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T5: In 2027-03-01, the average temperature in Houston has a probability of 5% to decrease, as predicted by Michael Brown, a weather analyst from the Bureau of Meteorology, on November 20, 2024.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T1: On August 12, 2024, Dr. Kevin White, a top executive from AccuWeather, forecasts that the wind chill in Minneapolis will likely rise by 10°F in 2026.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T2: In Q2 of 2025, Samantha Taylor from the US Weather Center envisions that the air quality index in Los Angeles should improve by 15% in the time frame of 2027.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T3: Dr. Rachel Kim, a weather reporter from the National Weather Service, predicts on September 18, 2024, that the humidity in Miami will decrease by 20% in 2028.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T4: According to a senior meteorologist from NOAA, on October 28, 2024, the temperature in New York City is expected to increase beyond 25°C in the time frame of 2026.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
"T5: In 2029-06-01, the precipitation levels in San Francisco have a probability of 10% to decrease, as predicted by Emily Lee, a weather analyst from the Meteorological Department, on November 15, 2024.",1,llama-3.1-8b-instant,weather,0,2025-03-04 17:05:14
Here are 10 unique weather predictions based on the provided templates and examples:,1,llama3-8b-8192,weather,0,2025-03-04 17:05:14
"T1: On 2024-08-21, Dr. Sophia Patel, a weather expert at the National Weather Service, forecasts that the temperature, in New York City, will likely decrease from 25°C to 20°C on 2025-02-16.",1,llama3-8b-8192,weather,0,2025-03-04 17:05:14
"T2: In Q3 of 2027, Samantha Brown from NOAA predicts that the precipitation levels, in San Francisco, should increase by 15% in the time frame of 2028-08-21.",1,llama3-8b-8192,weather,0,2025-03-04 17:05:14
"T3: Amanda Lee, a weather reporter from the Bureau of Meteorology, predicts on 2024-10-23 that the humidity in Seattle, will fall by 20% in 2025-Quarter 1.",1,llama3-8b-8192,weather,0,2025-03-04 17:05:14
"T4: According to a top executive from AccuWeather, on 2024-12-21, the rainfall in Portland, is expected to increase beyond 12% in the time frame of early 2025.",1,llama3-8b-8192,weather,0,2025-03-04 17:05:14
"T5: In 2025-08-21, the average wind speed in Chicago has a probability of 8% to decrease, as predicted by Dr. Michael Chen, a weather analyst, from the Meteorological Department on 2024-09-15.",1,llama3-8b-8192,weather,0,2025-03-04 17:05:14
"T1: On 2024-11-19, Ethan James at the US Weather Center predicts that the temperature, in Miami, will likely rise by 5°C in the time frame of 2026-02-16.",1,llama3-8b-8192,weather,0,2025-03-04 17:05:14
"T2: In 2027-02-15, Carlos Rodriguez from Weather.com predicts that the air quality index, in Los Angeles, should improve by 15% in the time frame of 2027-08-21.",1,llama3-8b-8192,weather,0,2025-03-04 17:05:14
"T3: [Mr. Tommy Wu], from the US Weather Center, predicts on 2024-08-15 that the snowfall levels, in Denver, will likely increase by 12 inches in 2026-02-16.",1,llama3-8b-8192,weather,0,2025-03-04 17:05:14
"T4: According to a senior level person from the National Weather Service, on 2024-10-12, the wind chill, in Minneapolis, is expected to be 5°F, which is a 10% rise, as predicted by Dr. Emily Taylor on 2024-08-21.",1,llama3-8b-8192,weather,0,2025-03-04 17:05:14
"T5: In 2025-03-22, the average precipitation levels, in New Orleans, have a probability of 3% to increase, as predicted by Dr. James Brown, a weather expert, from the Meteorological Department on 2024-09-20.",1,llama3-8b-8192,weather,0,2025-03-04 17:05:14
"Note: I've used the provided templates and examples as a guide, but I've generated unique predictions to meet the requirements.",1,llama3-8b-8192,weather,0,2025-03-04 17:05:14
