Text,Start Time,Duration,Video ID
">> Well, I have the Dallas Cowboys.",68.08,3.039,fUmJAtFEGn8
">> No, no, no. Seriously. Sorry. No. Okay.",69.6,2.96,fUmJAtFEGn8
"So, let me give you a scenario. It's the",71.119,2.801,fUmJAtFEGn8
"fourth quarter, right? The Seattle",72.56,4.559,fUmJAtFEGn8
Seahawks. They're up 20-6 with 3 minutes,73.92,6.16,fUmJAtFEGn8
and 25 seconds left. Seahawks have the,77.119,4.721,fUmJAtFEGn8
ball. There's a fumble.,80.08,2.24,fUmJAtFEGn8
>> Okay.,81.84,3.12,fUmJAtFEGn8
>> Christian Gonzalez scoops it up. He,82.32,4.88,fUmJAtFEGn8
takes it to the crib for a touchdown.,84.96,5.44,fUmJAtFEGn8
The Pats go up 23 to 20. That's the,87.2,5.599,fUmJAtFEGn8
final score. Christian Gonzalez is your,90.4,3.12,fUmJAtFEGn8
MVP.,92.799,1.601,fUmJAtFEGn8
>> Oh wow.,93.52,2.8,fUmJAtFEGn8
>> I gave you like a tribe called Quest. I,94.4,2.719,fUmJAtFEGn8
gave you a,96.32,3.2,fUmJAtFEGn8
>> DJ Jefferson. Do you have one mic or,97.119,5.68,fUmJAtFEGn8
">> Yeah, I got a The Pats their year I was",99.52,6.08,fUmJAtFEGn8
there 2001 and this team,102.799,5.201,fUmJAtFEGn8
>> literally reminds me of that team,105.6,5.199,fUmJAtFEGn8
>> 100%. The Hawks defense is great,108.0,6.079,fUmJAtFEGn8
>> and I I I got to go. I I think the Pats,110.799,4.721,fUmJAtFEGn8
are going to wind up and I'm like a,114.079,2.961,fUmJAtFEGn8
little higher red. I think the Pats got,115.52,1.919,fUmJAtFEGn8
this one.,117.04,1.84,fUmJAtFEGn8
>> Do you have a score and an MVP or,117.439,3.761,fUmJAtFEGn8
>> I say it's going to be probably it's,118.88,4.08,fUmJAtFEGn8
going to be low in the 20s. I give him,121.2,3.68,fUmJAtFEGn8
like maybe 2320.,122.96,4.159,fUmJAtFEGn8
>> Okay. And the MVP is going to be Drake,124.88,2.48,fUmJAtFEGn8
May.,127.119,4.081,fUmJAtFEGn8
>> Okay. Very good. Uh TJ three three,127.36,6.32,fUmJAtFEGn8
"Patriots over there. Uh and man,",131.2,4.48,fUmJAtFEGn8
Seahawks fans have been all over me all,133.68,3.52,fUmJAtFEGn8
"year because I'm like, I need to see it.",135.68,3.6,fUmJAtFEGn8
I need to see it. I need to I need to I,137.2,4.8,fUmJAtFEGn8
need to believe it uh a little bit more.,139.28,5.039,fUmJAtFEGn8
And then they all think I I I throw them,142.0,3.84,fUmJAtFEGn8
under the bus at the end of the day. And,144.319,3.201,fUmJAtFEGn8
"at the end of the day, Super Bowl 60 is",145.84,3.6,fUmJAtFEGn8
going to be won by the Seattle Seahawks.,147.52,4.0,fUmJAtFEGn8
And their defense is going to do it. And,149.44,4.24,fUmJAtFEGn8
it's going to be a 24-10 victory for the,151.52,3.76,fUmJAtFEGn8
Seattle Seahawks. They're going to get a,153.68,2.72,fUmJAtFEGn8
little bit of here,155.28,2.48,fUmJAtFEGn8
>> with the offense and get a little bit of,156.4,3.04,fUmJAtFEGn8
there on special teams. And they are,157.76,5.6,fUmJAtFEGn8
going to get the defensive stops. 24-10.,159.44,6.24,fUmJAtFEGn8
And your Super Bowl MVP will be Demarcus,163.36,5.28,fUmJAtFEGn8
"Lawrence, baby. Wow. Yeah. The unkind",165.68,4.24,fUmJAtFEGn8
"cut for you,",168.64,4.08,fUmJAtFEGn8
>> TJ Jefferson. Demarcus Lawrence has been,169.92,5.36,fUmJAtFEGn8
outstanding. I I'm I just I'm going to,172.72,5.04,fUmJAtFEGn8
I'm going to peg him as the guy who is,175.28,3.76,fUmJAtFEGn8
going to come up with some sacks and,177.76,3.44,fUmJAtFEGn8
maybe a sack force fumble and the,179.04,3.52,fUmJAtFEGn8
Seahawks are going to get this thing,181.2,4.319,fUmJAtFEGn8
done. And he has been he has been vocal,182.56,7.2,fUmJAtFEGn8
um um quite a bit about Seattle being,185.519,7.681,fUmJAtFEGn8
able to lay in weight and destroy teams.,189.76,4.72,fUmJAtFEGn8
And that's where I'm going. I'm going,193.2,3.36,fUmJAtFEGn8
the Seattle Seahawks win Super Bowl 60,194.48,4.64,fUmJAtFEGn8
"by two touchdowns, which is a rarity for",196.56,4.88,fUmJAtFEGn8
these two teams to play a game that's uh,199.12,5.68,fUmJAtFEGn8
got a a margin of victory more than just,201.44,5.2,fUmJAtFEGn8
a touchdown. And I think the defense,204.8,3.6,fUmJAtFEGn8
will lead them. And I think Seattle fans,206.64,3.76,fUmJAtFEGn8
will be very happy. And I can't wait to,208.4,3.68,fUmJAtFEGn8
hear from all of you. I can't wait to,210.4,3.119,fUmJAtFEGn8
hear from all of you about how I've,212.08,3.76,fUmJAtFEGn8
believed in your team all along. And,213.519,4.881,fUmJAtFEGn8
I've been running an oie joke week after,215.84,4.08,fUmJAtFEGn8
week after week. I've been lying and,218.4,4.0,fUmJAtFEGn8
wait just like the defense to finally,219.92,4.64,fUmJAtFEGn8
flip the script. And that's my,222.4,4.399,fUmJAtFEGn8
prediction for Super Bowl 60 in advance.,224.56,4.319,fUmJAtFEGn8
"So, I've already uh frontloaded it for",226.799,3.44,fUmJAtFEGn8
for Sunday's show. Great job this,228.879,3.601,fUmJAtFEGn8
"weekend,",230.239,3.761,fUmJAtFEGn8
"which we did. Hey, you made it all the",232.48,3.36,fUmJAtFEGn8
way to the end. Thanks for that. Check,234.0,4.0,fUmJAtFEGn8
us out every single day streaming live,235.84,4.959,fUmJAtFEGn8
on Disney Plus and the ESPN app 12 to 3,238.0,5.04,fUmJAtFEGn8
Eastern.,240.799,2.241,fUmJAtFEGn8
