Text,Start Time,Duration,Video ID
to give the Patriots an edge 2824.,275.84,4.799,MTVAkVkkaz4
">> Yes,",280.08,2.08,MTVAkVkkaz4
>> Patriots win Super Bowl six.,280.639,4.161,MTVAkVkkaz4
">> Okay, this is very abnormal. I think our",282.16,5.039,MTVAkVkkaz4
show and this might be because we are,284.8,4.56,MTVAkVkkaz4
hanging with Connor so much. Everybody,287.199,3.201,MTVAkVkkaz4
here picking Patriots.,289.36,2.399,MTVAkVkkaz4
>> Am I the only one on Seattle? We're,290.4,2.56,MTVAkVkkaz4
going to find out.,291.759,5.201,MTVAkVkkaz4
">> AJ Hawk, we currently sit um I'm 98 and",292.96,5.44,MTVAkVkkaz4
five on the season,296.96,3.12,MTVAkVkkaz4
>> against you.,298.4,3.68,MTVAkVkkaz4
>> Obviously that makes you 8 n and five.,300.08,2.8,MTVAkVkkaz4
>> Okay.,302.08,2.559,MTVAkVkkaz4
>> Last week you won or two weeks ago you,302.88,3.36,MTVAkVkkaz4
won 0 and2. I went one and one. Okay.,304.639,3.201,MTVAkVkkaz4
Shout out to the Seahawks. Shout out up,306.24,3.84,MTVAkVkkaz4
"there in the Pacific Northwest. AJ, who",307.84,4.16,MTVAkVkkaz4
do you like? How do you like it for the,310.08,3.839,MTVAkVkkaz4
Super Bowl? Are the Patriots all the way,312.0,3.039,MTVAkVkkaz4
back? Are they going to win? Are they,313.919,2.401,MTVAkVkkaz4
going to cover the Seattle Seahawks,315.039,2.401,MTVAkVkkaz4
going to do their thing? Are you with,316.32,4.56,MTVAkVkkaz4
Sports Rage or are you with Connor Rage?,317.44,5.52,MTVAkVkkaz4
">> Well, yeah. I I do like the idea of a KG",320.88,3.12,MTVAkVkkaz4
affair. I think that could happen. I,322.96,2.16,MTVAkVkkaz4
think teams might be a little tight,324.0,2.88,MTVAkVkkaz4
early. Maybe not. Maybe take some little,325.12,3.28,MTVAkVkkaz4
"easy completions, but we're maybe punt",326.88,2.72,MTVAkVkkaz4
the ball back and forth. Even though you,328.4,2.72,MTVAkVkkaz4
say they're going to score touchdowns on,329.6,2.24,MTVAkVkkaz4
both drives.,331.12,2.56,MTVAkVkkaz4
">> Oh, no. I could field goals win the bet.",331.84,4.079,MTVAkVkkaz4
">> Oh, field goals. Touchdown. Yeah, score",333.68,4.4,MTVAkVkkaz4
on both.,335.919,3.681,MTVAkVkkaz4
">> But when I think about I agree, Josh",338.08,3.28,MTVAkVkkaz4
"McDaniels, the guy's an absolute wizard",339.6,3.68,MTVAkVkkaz4
as far as offensive play caller in in,341.36,3.52,MTVAkVkkaz4
dialing up matchups and finding the,343.28,4.32,MTVAkVkkaz4
matchups he wants. I'm taking Patriots,344.88,5.44,MTVAkVkkaz4
"21, Seahawks 17.",347.6,3.2,MTVAkVkkaz4
>> [ __ ],350.32,2.159,MTVAkVkkaz4
">> Wow. And on that note, I'll take the",350.8,3.44,MTVAkVkkaz4
Patriots plus four and a half as well.,352.479,3.761,MTVAkVkkaz4
Okay. And congrats to me. Another big,354.24,3.6,MTVAkVkkaz4
time win this season against AJ Hawk.,356.24,3.6,MTVAkVkkaz4
I'm pretty excited about that. That is,357.84,5.24,MTVAkVkkaz4
good news.,359.84,3.24,MTVAkVkkaz4
